id,repair_id,description,date,labour_cost,,
2,2,SE ARREGLÓ,0000-00-00,500,,
4,5,se reparo,0000-00-00,100,,
5,11,se reseteo el contador las almohadillas. se checo y esta imprimiendo sin problemas,0000-00-00,350,,
6,12,se reseteo el contador de almohadillas. ya esta imprimiendo,0000-00-00,350,,
7,13,se quito el atasco de papel que traia y se checo que estubiera trabajando bien. trabaja bien.,0000-00-00,150,,
8,14,"Se instalo SSD y se instalo SO.
Se retiro la bateria porque comenzaba a inflarse.",0000-00-00,600,,
9,19,Reinstalacion de SO Y Paqueteria.,0000-00-00,550,,
10,22,Instalación de paquetería y antivirus con licencia,0000-00-00,500,,
11,18,Se cambio el cable de alimentación al disco duro,0000-00-00,200,,
13,17,Formateo sin respaldo e instalación de paquetería y antivirus,0000-00-00,550,,
14,26,SE CHECO Y SE PROBO QUER TODO ESTUBIERA BIEN SE RESETEO EL PORCENTAJE DE LAS ALMIHADILLAS QUE YA TE NIA CONTADAS. LAS ALMOHADILLAS ESTAN EN BUEN ESTADO SIN PROBLEMAS DE TIRAR TINTA,0000-00-00,350,,
15,28,Se pondrá licencia de antivirus,0000-00-00,325,,
17,23,"Formateo W10 con respaldo, Instalación de office y antivirus con licencia",0000-00-00,600,,
18,21,"SE QUITO OBSTRUCION DE HOJA, SE PURGO SISTEMA CONTINUO Y SE LE HIZO LIMPIEZA DE CABEZAL (MANUAL). LA IMPRESORA YA ESTRABAJANDO BIEN.",0000-00-00,750,,
20,27,"Intalacion de memoria RAM 8gb, instalación de paquetería con antivirus",0000-00-00,500,,
21,32,Reinstalacion/Actualizacion de SO. SL,0000-00-00,450,,
22,25,"Se instalo un SSD por mayor velocidad, instalación de W10 con paquetería y antivirus con licencia",0000-00-00,561,,
,,
