type_id,name,price
CPU,Formateo local e instalación de paquetería completa c/ licencia,550.00
CPU,Formateo local e instalación de paquetería completa s/ licencia,450.00
CPU,Instalación de antivirus c/ licencia,325.00
CPU,Instalación de paquetería del office,250.00
CPU,Instalación de paquetería completa,500.00
CPU,"Instalación de un programa (AutoCAD, Corel)",300.00
CPU,"Mantenimiento a CPU, lógico, actualización y depuración de software",550.00
CPU,Mantenimiento a equipo de cómputo completo,500.00
CPU,Mantenimiento a PC Todo en uno,500.00
CPU,Activación de office o Windows,150.00
CPU,"Servicio a tarjeta madre ""limpieza de memoria""",100.00
CPU,Instalación de controladores,200.00
CPU,DIAGNOSTICO de CPU,250.00
