id,technician_id,client_id,equipo_id,estado_id,service_id,modelo,marca,serie,problema,foraneo,no_inventario,observaciones,fecha_compra,folio_compra,clave,fecha_reparado,fecha_entregado,garantia,key,,
1,10,6,8,1,5,MO45,CANON,23580718,NO ENCENDIÓ,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4569-6,,
2,2,5694,7,3,64,MO46,TOSHIBA,23580718,DEJÓ DE FUNCIONAR,0,NULL,NULL,NULL,NULL,NULL,20/12/2021 12:10,NULL,0,5513-5694,,
3,8,5695,51,1,13,HP Notebook,HP,CND6171K2M,La computadora esta muy lenta,0,NULL,Solo Laptop,20/12/2021,NULL,NULL,NULL,NULL,0,9112-5695,,
4,9,96,49,1,4,NUEVO,HP,NUEVO,asdf,0,NULL,asrstgs,20/12/2021,NULL,NULL,NULL,NULL,0,2931-96,,
5,8,96,49,3,12,HP Notebook,HP,Nuevi,"Esta es una linea de texto para probar que pasa si se escribe una problema extenso en el cuadro de dialogo pequeño, veremos si es capaz de re acomodar los cuadros de dialogo o descuadrara el formato de la hoja, con esto finalizamos la prueba.",0,0,"Esta es una linea de texto para probar que pasa si se escribe una problema extenso en el cuadro de dialogo pequeño, veremos si es capaz de re acomodar los cuadros de dialogo o descuadrara el formato de la hoja, con esto finalizamos la prueba.",20/12/2021,NULL,NULL,20/12/2021 10:58,NULL,0,3259-96,,
6,13,2926,50,1,13,IDEACENTRE AIO310-20IAP,LENOVO,YJ007J3M,El equipo esta muy lento al encender,0,NULL,PC + eliminador de corriente,NULL,NULL,NULL,NULL,NULL,0,5491-2926,,
7,3,6,6,1,83,HP Notebook,ACER,QQ,ya no se encuentra... ya no se encuentra ... ya no se encuentra ya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentra,1,0,ya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentraya no se encuentra... ya no se encuentra ... ya no se encuentra,NULL,NULL,NULL,NULL,NULL,0,1889-6,,
8,3,5697,1,1,39,MO45,BROTHER,23580718,ya no arranca... ya no arranca... ya no arranca... ya no arranca... ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca... FIN,0,0,ya no arranca... ya no arranca... ya no arranca... ya no arranca... ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca...ya no arranca... FIN,NULL,NULL,NULL,NULL,NULL,0,3911-5697,,
9,8,96,52,1,22,HP Notebook,KYOCERA,CND6171K2M,asdasd,0,NULL,asdasd,NULL,NULL,na,NULL,NULL,0,2449-96,,
10,8,96,51,1,20,na-4754,HP,sn27iej6,No enciende le callo agua,0,NULL,laptop y eliminador de corriente,NULL,NULL,hp2154,NULL,NULL,0,7864-96,,
11,12,5698,27,4,28,l5190,EPSON,x5nq074314,reseteo de contador de almohadillas. y chequeo,0,NULL,solo impresora,NULL,NULL,NULL,05/01/2022 10:47,05/01/2022 18:02,0,2465-5698,,
12,12,5699,27,4,28,l555,EPSON,S4VY179855,RESETEO DE IMPRESORA,0,NULL,SOLO IMPRESORA,NULL,NULL,NULL,06/01/2022 09:23,06/01/2022 11:38,0,3835-5699,,
13,12,5700,27,4,28,l5190,EPSON,s/n,atasco de papel,0,NULL,NULL,NULL,NULL,NULL,06/01/2022 11:44,06/01/2022 11:44,0,3097-5700,,
14,8,354,51,4,1,14-ck0014la,HP,5cg82016sd,Instalar SO Windows 10 Con Paqueteria Y Antivirus,0,NULL,Laptop y adaptador de corriente. Bateria indica detalles.,NULL,NULL,NULL,07/01/2022 11:31,07/01/2022 11:31,0,1678-354,,
15,8,4866,53,1,52,PT-LB330,OTRAS,BZ4350216,"Enciende y trabaja, detalle la imagen se ve amarillenta q se solucione para q se vea mas claro",0,NULL,Solo proyector,NULL,NULL,NULL,NULL,NULL,0,4957-4866,,
16,8,5701,51,1,1,HP PAVILION DV2000,HP,2CE7042MCN,"Formateo sin respaldo W8, paquetería y antivirus",0,NULL,Laptop y eliminador de corriente,NULL,NULL,NULL,NULL,NULL,0,1279-5701,,
