equipo,priceDiagnostic
ACCES POINT,
ADAPTADOR DE RJ11 A USB,
BANDA ANCHA,
BATERIA,
BOCINAS,
CABLE SERIAL,
CAJON DE DINERO,100,
CAMARA ,
CAMARA DIGITAL,
CAMARA IP,
CARATULA,
CARTUCHO,
"CD, DVD VIRGEN",
CELULAR,
CONSOLA DE VIDEOJUEGO,
CONVERTIDOR DE DUSCO DURO,
COPIADORA,
CPU,0,
DISCO DURO,180,
DISIPADOR ,
DVD RW,200
DVR/NVR,200
ELIMINADOR,
FAX,
FLOPPY EXTERNO,
FUENTE DE PODER,250
IMPRESORA,
IMPRESORA DE TICKETT,
INMICADORA,
INTERFON,
IPAD,
IPOD,250
IMPRESORA LASER DE OFICINA,250,
MULTIFUNCIONAL DE TINTA CONTINUA,250
IMPRESORAS DE MATRIZ,250,
LECTOR DE CODIGO DE BARRA,100,
MEMORIA SD,
MEMORIA USB,
MINI-PORTATIL,250,
MINIPRINTER,250,
MODEM,
MONITOR,200,
MOUSE,
MP3,0,
MP4,0,
MULTIQUEMADOR,
MULTIUSB,0,
NO-BREAK,150,
PC,250,
PC TODO EN UNO,
PORTATIL,0
PLOTTER,400,
PROYECTOR,250,
PSP,
QUEMADOR DE CD,80
REGULADOR,80,
RELOJ CHECADOR,0,
ROUTER,80,
SCANNER CAMA PLANA,200,
SCANER,
SUMADORA,
SUMADORA CON CAJON,
SWITCH DE RED,
TABLETA,
TARJETA DE RED PCI,
TARJETA DE VIDEO AGP,
TARJETA DE VIDEO PCI,
TARJETA MADRE,
TECLADO,
TELEVISION PANTALLA PLANA,
TONER,
VIDEO CAMARA,
